index	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated
32	0.001	0.045	5.035e-06	0.0011264	1e-06	0.01	0.0	0.01	0.001	0.00132
33	0.001	0.042	1.015e-06	0.0011264	1e-06	0.01	0.0	0.01	0.001	0.00326
34	0.001	0.047	3.53e-07	0.00043008	1e-07	0.01	0.0	0.02	0.001	0.00215
35	0.001	0.038	5.64e-07	0.00094208	1e-06	0.01	0.0	0.01	0.001	0.0014
36	0.001	0.047	8.145e-06	0.0024576	5e-06	0.01	0.0	0.01	0.0	0.00118
38	0.001	0.047	1.58e-07	0.0011264	1e-07	0.01	0.0	0.01	0.001	0.00364
39	0.001	0.04	5.91e-07	0.00096256	5e-06	0.01	0.0	0.01	0.001	0.00242
40	0.001	0.042	1.17e-07	0.001536	1e-07	0.01	0.0	0.01	0.001	0.00131
41	0.001	0.045	1.76e-07	0.001024	1e-06	0.01	0.0	0.01	0.001	0.0024
43	0.001	0.038	2.206e-06	0.00012288	1e-06	0.01	0.0	0.01	0.0	0.00227
44	0.001	0.042	2.6e-08	0.0012288	1e-07	0.01	0.0	0.01	0.001	0.00329
45	0.001	0.047	0.000174531	0.0024576	0.0001	0.01	0.0	0.01	0.001	0.0012
46	0.001	0.046	1.07e-06	0.0026624	1e-06	0.01	0.0	0.01	0.001	0.00379
47	0.001	0.042	8.5e-08	0.0008192	1e-06	0.01	0.0	0.01	0.001	0.00346
48	0.001	0.043	8.45e-07	0.0008089600000000001	1e-06	0.01	0.0	0.01	0.001	0.00184
49	0.002	0.042	3.67e-07	0.00256	1e-06	0.01	0.0	0.01	0.002	0.00202
50	0.002	0.04	1.598e-06	0.0057344	1e-05	0.01	0.0	0.01	0.002	0.00125
51	0.002	0.038	2.84e-07	0.0058368	1e-06	0.01	0.0	0.01	0.002	0.00125
53	0.002	0.039	1.29e-07	0.003584	1e-06	0.01	0.0	0.01	0.002	0.00125
54	0.002	0.043	5.42e-07	0.0033792	1e-06	0.01	0.0	0.01	0.002	0.0012
55	0.002	0.049	1.0479e-05	0.0033792	1e-06	0.01	0.0	0.01	0.002	0.00133
56	0.002	0.044000000000000004	8.05e-07	0.0005734399999999999	5e-07	0.01	0.0	0.01	0.002	0.00122
57	0.002	0.042	1.29e-07	0.0055296	1e-06	0.01	0.0	0.01	0.002	0.00125
58	0.002	0.04	1.403e-06	2.01e-05	1e-06	0.01	0.0	0.01	0.002	0.01555
59	0.002	0.039	3.971e-06	0.00036864	1e-06	0.01	0.0	0.01	0.002	0.00121
60	0.002	0.046	5.34e-07	0.00058368	1e-07	0.01	0.0	0.01	0.002	0.00143
61	0.002	0.049	7.774e-06	0.0017408	1e-06	0.01	0.0	0.01	0.002	0.00148
62	0.002	0.043	3.8846e-05	0.0008806399999999999	1e-05	0.01	0.0	0.01	0.002	0.00123
63	0.002	0.046	2.431e-06	0.00024576	1e-06	0.01	0.0	0.01	0.002	0.00169
64	0.002	0.049	6.09e-06	0.0027648	1e-06	0.01	0.0	0.01	0.002	0.00148
65	0.002	0.039	2.95e-07	0.00027648	1e-07	0.01	0.0	0.01	0.002	0.00121
66	0.002	0.04	1.9e-07	0.000256	5e-07	0.01	0.0	0.01	0.002	0.00775
69	0.002	0.042	5.253e-05	0.0007168	5e-05	0.01	0.0	0.01	0.002	0.00135
70	0.002	0.048	0.000116986	0.003584	5e-05	0.01	0.0	0.01	0.002	0.00118
71	0.002	0.036000000000000004	1.379e-06	0.0016384	5e-06	0.01	0.0	0.01	0.002	0.00118
72	0.002	0.042	0.00027192	0.0016384	0.0001	0.01	0.0	0.02	0.002	0.0014
74	0.002	0.048	7.021e-06	0.0017408	5e-06	0.01	0.0	0.01	0.002	0.00124
75	0.002	0.046	1.97e-07	0.00034816	5e-07	0.01	0.0	0.01	0.002	0.00167
76	0.002	0.045	7.37e-07	0.0009113600000000001	1e-06	0.01	0.0	0.01	0.002	0.00173
77	0.002	0.043	3.574e-06	0.00039935999999999997	1e-05	0.01	0.0	0.03	0.002	0.00147
78	0.002	0.045	9.94e-07	0.00029696	1e-06	0.01	0.0	0.01	0.002	0.00246
79	0.002	0.049	0.000197136	0.0038912	1e-05	0.01	0.0	0.01	0.002	0.00136
80	0.002	0.039	1.42e-07	0.0032768	5e-07	0.01	0.0	0.01	0.002	0.00127
81	0.002	0.044000000000000004	1.5168e-05	0.0037888	1e-05	0.01	0.0	0.01	0.002	0.00124
82	0.002	0.04	2.155e-06	0.001536	5e-06	0.01	0.0	0.01	0.002	0.00121
83	0.002	0.043	1.38e-07	0.00055296	1e-06	0.01	0.0	0.01	0.002	0.00128
84	0.002	0.037000000000000005	5.414e-06	0.0018432	1e-05	0.01	0.0	0.01	0.002	0.00128
86	0.002	0.043	3.48e-07	0.0038912	1e-06	0.01	0.0	0.01	0.002	0.00122
87	0.002	0.032	2.5e-07	0.00011264	1e-06	0.01	0.0	0.01	0.002	0.00215
90	0.002	0.045	3.617e-06	0.0008089600000000001	1e-06	0.01	0.0	0.01	0.002	0.00196
91	0.002	0.037000000000000005	4.806e-06	0.003584	1e-05	0.01	0.0	0.01	0.002	0.0012
93	0.002	0.046	3.1433e-05	0.0017408	1e-05	0.01	0.0	0.01	0.002	0.00118
94	0.002	0.046	5.097e-06	0.0019456	1e-05	0.01	0.0	0.01	0.002	0.00128
95	0.002	0.04	1.754e-06	0.0014336	5e-06	0.01	0.0	0.01	0.002	0.00179
96	0.002	0.044000000000000004	2.68e-06	0.00022528	5e-06	0.01	0.0	0.01	0.002	0.00253
97	0.002	0.04	1.288e-06	0.0004608	1e-06	0.01	0.0	0.01	0.002	0.00221
98	0.003	0.047	1.89e-05	0.0017408	5e-06	0.01	0.0	0.01	0.003	0.00118
99	0.003	0.049	4.979e-05	0.0014336	1e-05	0.01	0.0	0.01	0.003	0.00384
100	0.003	0.047	1.15e-06	0.0010035200000000001	1e-06	0.01	0.0	0.01	0.003	0.00197
101	0.003	0.039	1.739e-06	0.0021504	5e-06	0.01	0.0	0.01	0.003	0.00139
103	0.003	0.042	2.225e-06	0.0053248	5e-06	0.01	0.0	0.01	0.003	0.00273
104	0.003	0.046	4.369e-06	0.0014336	1e-06	0.01	0.0	0.01	0.003	0.00126
105	0.003	0.043	8.572e-06	0.00256	1e-05	0.01	0.0	0.01	0.003	0.00202
106	0.003	0.047	9.64e-07	0.0009216	5e-07	0.01	0.0	0.01	0.003	0.0016
108	0.003	0.048	1.04e-07	0.0012288	1e-07	0.01	0.0	0.01	0.003	0.00155
110	0.003	0.043	6.01e-07	0.003584	1e-06	0.01	0.0	0.01	0.003	0.00179
111	0.003	0.045	3.6e-08	0.00068608	1e-07	0.01	0.0	0.01	0.003	0.00125
112	0.003	0.040999999999999995	1.87e-07	0.003072	5e-07	0.01	0.0	0.02	0.003	0.00127
114	0.003	0.042	3e-08	0.00029696	1e-07	0.01	0.0	0.01	0.003	0.00233
115	0.003	0.045	1.34e-07	0.0017408	1e-07	0.01	0.0	0.01	0.003	0.00272
116	0.003	0.044000000000000004	7.4e-08	0.00029696	1e-07	0.01	0.0	0.01	0.003	0.00237
119	0.003	0.040999999999999995	9.315e-06	0.00026624	1e-05	0.01	0.0	0.01	0.003	0.00372
120	0.003	0.044000000000000004	7.5e-08	0.00043008	5e-07	0.01	0.0	0.01	0.003	0.00406
121	0.003	0.046	3.8e-08	0.00072704	1e-07	0.01	0.0	0.01	0.003	0.00183
122	0.003	0.045	2.6834e-05	0.0058368	1e-05	0.01	0.0	0.01	0.003	0.00127
124	0.003	0.039	2.277e-06	0.0022528	5e-06	0.01	0.0	0.01	0.003	0.00139
125	0.003	0.044000000000000004	2.28e-06	0.0024576	5e-06	0.01	0.0	0.01	0.003	0.00198
127	0.003	0.046	1.84e-07	0.0021504	1e-07	0.01	0.0	0.01	0.003	0.00149
128	0.003	0.038	9e-09	0.00034816	5e-08	0.01	0.0	0.01	0.003	0.00174
131	0.003	0.04	3.64e-07	0.00065536	1e-06	0.01	0.0	0.01	0.003	0.00188
132	0.003	0.043	1.8e-08	0.00032768	5e-08	0.01	0.0	0.01	0.003	0.0018
133	0.003	0.045	4.73e-07	0.0008396799999999999	1e-06	0.01	0.0	0.04	0.003	0.00637
135	0.003	0.040999999999999995	6.6e-08	0.00029696	1e-07	0.01	0.0	0.01	0.003	0.00237
136	0.003	0.037000000000000005	3.871e-06	0.0023552	1e-05	0.01	0.0	0.01	0.003	0.00121
137	0.003	0.047	2.57e-07	0.00047104	5e-07	0.01	0.0	0.01	0.003	0.00478
138	0.003	0.042	6.2e-08	0.00031744	1e-07	0.01	0.0	0.01	0.003	0.00184
140	0.004	0.045	1.857e-06	0.0005017600000000001	5e-07	0.01	0.0	0.01	0.004	0.00117
141	0.004	0.046	4.478e-06	0.0009728	1e-06	0.01	0.0	0.03	0.004	0.00485
147	0.004	0.045	4.18e-07	0.00043008	1e-06	0.01	0.0	0.01	0.004	0.00246
148	0.004	0.044000000000000004	2.2486e-05	0.00055296	1e-05	0.01	0.0	0.02	0.004	0.00175
150	0.004	0.046	1.435e-06	0.00028671999999999997	5e-06	0.01	0.0	0.01	0.004	0.00311
151	0.004	0.048	0.000116507	0.000512	1e-05	0.01	0.0	0.02	0.004	0.00119
153	0.004	0.046	9.0468e-05	0.0006041600000000001	5e-05	0.01	0.0	0.01	0.004	0.00185
154	0.004	0.042	8.6e-07	0.0013312	1e-06	0.01	0.0	0.01	0.004	0.00134
155	0.004	0.040999999999999995	0.000363934	0.00072704	0.0001	0.01	0.0	0.01	0.004	0.0014
156	0.004	0.047	9.67e-07	0.00068608	5e-06	0.01	0.0	0.01	0.004	0.00116
158	0.004	0.043	1.7506e-05	0.0017408	1e-05	0.01	0.0	0.01	0.004	0.00131
159	0.004	0.033	1.862e-06	0.0019456	1e-05	0.01	0.0	0.01	0.004	0.00215
160	0.004	0.046	2.084e-06	0.00068608	5e-06	0.01	0.0	0.01	0.004	0.00195
161	0.004	0.048	4.7303e-05	0.0021504	1e-05	0.01	0.0	0.01	0.004	0.00179
164	0.004	0.040999999999999995	8.5842e-05	0.0037888	5e-05	0.01	0.0	0.01	0.004	0.00156
165	0.004	0.046	7.831e-06	0.001536	1e-06	0.01	0.0	0.02	0.004	0.00147
166	0.004	0.040999999999999995	9.1615e-05	0.0023552	5e-05	0.01	0.0	0.04	0.004	0.00152
167	0.004	0.046	4.62e-06	0.0019456	5e-06	0.01	0.0	0.01	0.004	0.0037
168	0.004	0.047	2.1336e-05	0.0023552	1e-05	0.01	0.0	0.01	0.004	0.00161
169	0.004	0.045	2.6875e-05	0.0074752	5e-06	0.01	0.0	0.01	0.004	0.00119
170	0.004	0.039	1.778e-06	0.0005017600000000001	5e-06	0.01	0.0	0.04	0.004	0.01504
171	0.004	0.044000000000000004	2.709e-06	0.00069632	1e-05	0.01	0.0	0.01	0.004	0.0014
174	0.004	0.045	5.27e-07	0.00029696	1e-06	0.01	0.0	0.01	0.004	0.00242
175	0.004	0.044000000000000004	1.322e-06	0.0003584	1e-06	0.01	0.0	0.01	0.004	0.00184
176	0.004	0.034	1.68e-06	0.0004096	1e-06	0.01	0.0	0.01	0.004	0.0083
177	0.004	0.049	2.739e-06	0.0021504	5e-07	0.01	0.0	0.01	0.004	0.00134
178	0.004	0.046	1.065e-06	0.00023552	5e-06	0.01	0.0	0.01	0.004	0.00165
181	0.004	0.044000000000000004	8.788e-06	0.001024	1e-05	0.01	0.0	0.01	0.004	0.00123
182	0.004	0.044000000000000004	5.1269e-05	0.00062464	1e-05	0.01	0.0	0.01	0.004	0.00132
183	0.004	0.044000000000000004	3.0105e-05	0.00021504	1e-05	0.01	0.0	0.01	0.004	0.00122
184	0.004	0.035	1.56e-07	0.0043008	5e-06	0.01	0.0	0.01	0.004	0.00286
186	0.004	0.044000000000000004	0.000341157	0.003072	0.0001	0.01	0.0	0.03	0.004	0.00253
190	0.005	0.043	8.5185e-05	0.0029696	5e-05	0.01	0.0	0.01	0.005	0.00134
194	0.005	0.043	0.001002861	0.003584	0.001	0.01	0.0	0.01	0.005	0.00118
195	0.005	0.039	1.6589e-05	0.00093184	1e-05	0.01	0.0	0.01	0.005	0.00167
196	0.005	0.048	0.000148945	0.00256	1e-05	0.01	0.0	0.01	0.005	0.00132
197	0.005	0.045	4.458e-06	0.00039935999999999997	5e-06	0.01	0.0	0.01	0.005	0.00143
198	0.005	0.044000000000000004	6.2272e-05	0.0018432	0.0001	0.01	0.0	0.01	0.005	0.00155
199	0.005	0.04	8.941e-06	0.0012288	5e-05	0.01	0.0	0.01	0.005	0.0012
200	0.005	0.043	4.6353e-05	0.0021504	1e-05	0.01	0.0	0.01	0.005	0.00959
205	0.005	0.042	3.0847e-05	0.005632	5e-05	0.01	0.0	0.01	0.005	0.00293
206	0.005	0.046	0.000188841	0.00032768	5e-05	0.01	0.0	0.01	0.005	0.0016
209	0.005	0.031	4.034e-06	2.3e-06	1e-06	0.01	0.0	0.01	0.005	0.01174
210	0.005	0.039	4.5964e-05	0.0016384	1e-05	0.01	0.0	0.01	0.005	0.00133
212	0.005	0.040999999999999995	6.903e-06	0.0014336	1e-05	0.01	0.0	0.01	0.005	0.00141
213	0.005	0.044000000000000004	3.1614e-05	0.0037888	0.0001	0.01	0.0	0.01	0.005	0.00131
216	0.005	0.045	0.000207372	0.0011264	5e-05	0.01	0.0	0.01	0.005	0.00118
217	0.005	0.044000000000000004	1.225e-06	0.00256	1e-06	0.01	0.0	0.01	0.005	0.00119
218	0.005	0.044000000000000004	0.000380837	0.00074752	0.0001	0.01	0.0	0.01	0.005	0.00147
219	0.005	0.043	1.06e-05	0.0006656	1e-05	0.01	0.0	0.01	0.005	0.00119
220	0.005	0.044000000000000004	7.4359e-05	0.00256	1e-05	0.01	0.0	0.01	0.005	0.00124
221	0.005	0.046	8.22e-07	0.00031744	1e-06	0.01	0.0	0.01	0.005	0.00173
223	0.005	0.044000000000000004	2.287e-06	0.0001536	1e-05	0.01	0.0	0.01	0.005	0.00247
224	0.005	0.047	4.162e-06	0.000768	1e-06	0.01	0.0	0.01	0.005	0.00127
225	0.005	0.038	1.476e-05	0.0008806399999999999	0.0005	0.01	0.0	0.01	0.005	0.00301
231	0.005	0.047	0.000286897	0.0039936	0.0001	0.01	0.0	0.01	0.005	0.00547
232	0.005	0.045	0.000103755	0.0014336	0.0001	0.01	0.0	0.01	0.005	0.0014
233	0.005	0.042	4.6505e-05	0.0019456	1e-05	0.01	0.0	0.01	0.005	0.00118
234	0.005	0.047	1.1442e-05	0.00069632	1e-06	0.0	0.000499	0.01	0.005	0.00248
235	0.005	0.048	1.0295e-05	0.0039936	1e-06	0.0	0.000499	0.01	0.005	0.00596
237	0.005	0.042	2.96e-07	0.0014336	5e-07	0.01	0.0	0.01	0.005	0.00166
238	0.005	0.043	2.9313e-05	0.002048	5e-05	0.01	0.0	0.01	0.005	0.00121
241	0.005	0.040999999999999995	1.802e-06	0.0026624	1e-06	0.01	0.0	0.01	0.005	0.00224
242	0.005	0.038	1.383e-06	0.0052224	1e-06	0.01	0.0	0.01	0.005	0.00139
243	0.005	0.043	2.3175e-05	0.0041984	1e-05	0.01	0.0	0.01	0.005	0.00138
244	0.005	0.038	5.868e-06	0.002048	5e-06	0.01	0.0	0.01	0.005	0.00148
246	0.005	0.040999999999999995	5.448e-06	0.0012288	5e-06	0.01	0.0	0.01	0.005	0.00126
247	0.005	0.046	4.159e-06	0.0049152	5e-06	0.01	0.0	0.01	0.005	0.00131
248	0.005	0.043	2.0815e-05	0.001024	1e-05	0.01	0.0	0.01	0.005	0.00125
249	0.005	0.045	7.8662e-05	0.0022528	1e-05	0.01	0.0	0.01	0.005	0.00288
250	0.005	0.040999999999999995	7.149e-06	0.0011264	1e-05	0.01	0.0	0.01	0.005	0.0012
251	0.005	0.045	3.079e-06	0.0008704	1e-06	0.01	0.0	0.01	0.005	0.00118
252	0.005	0.046	5.8e-06	0.0008806399999999999	1e-06	0.01	0.0	0.01	0.005	0.00118
254	0.005	0.042	1.6422e-05	0.0028672	1e-05	0.01	0.0	0.01	0.005	0.00119
255	0.005	0.044000000000000004	0.000108741	0.0028672	0.0001	0.01	0.0	0.01	0.005	0.00131
256	0.005	0.044000000000000004	3.1614e-05	0.0037888	0.0001	0.01	0.0	0.01	0.005	0.00131
257	0.005	0.04	6.24e-07	0.0009216	1e-06	0.01	0.0	0.01	0.005	0.00251
258	0.005	0.042	1.661e-06	0.0047104	1e-06	0.01	0.0	0.01	0.005	0.00118
260	0.005	0.040999999999999995	3.08e-07	0.0014336	5e-07	0.01	0.0	0.01	0.005	0.00183
262	0.005	0.038	5.211e-06	0.0026624	1e-05	0.01	0.0	0.01	0.005	0.00121
263	0.005	0.039	1.058e-06	0.0023552	5e-06	0.01	0.0	0.01	0.005	0.00152
266	0.005	0.042	2.96e-07	0.0014336	5e-07	0.01	0.0	0.01	0.005	0.00166
267	0.005	0.043	2.9313e-05	0.002048	5e-05	0.01	0.0	0.01	0.005	0.00121
270	0.005	0.040999999999999995	1.802e-06	0.0026624	1e-06	0.01	0.0	0.01	0.005	0.00224
271	0.005	0.038	1.383e-06	0.0052224	1e-06	0.01	0.0	0.01	0.005	0.00139
272	0.005	0.043	2.3175e-05	0.0041984	1e-05	0.01	0.0	0.01	0.005	0.00138
273	0.005	0.038	5.868e-06	0.002048	5e-06	0.01	0.0	0.01	0.005	0.00148
275	0.005	0.040999999999999995	5.448e-06	0.0012288	5e-06	0.01	0.0	0.01	0.005	0.00126
276	0.005	0.046	4.159e-06	0.0049152	5e-06	0.01	0.0	0.01	0.005	0.00131
277	0.005	0.043	2.0815e-05	0.001024	1e-05	0.01	0.0	0.01	0.005	0.00125
278	0.005	0.045	7.8662e-05	0.0022528	1e-05	0.01	0.0	0.01	0.005	0.00288
279	0.005	0.040999999999999995	7.149e-06	0.0011264	1e-05	0.01	0.0	0.01	0.005	0.0012
280	0.005	0.045	3.079e-06	0.0008704	1e-06	0.01	0.0	0.01	0.005	0.00118
281	0.005	0.046	5.8e-06	0.0008806399999999999	1e-06	0.01	0.0	0.01	0.005	0.00118
283	0.005	0.042	1.6422e-05	0.0028672	1e-05	0.01	0.0	0.01	0.005	0.00119
287	0.005	0.047	0.000286897	0.0039936	0.0001	0.01	0.0	0.01	0.005	0.00547
288	0.005	0.045	0.000103755	0.0014336	0.0001	0.01	0.0	0.01	0.005	0.0014
289	0.005	0.042	4.6505e-05	0.0019456	1e-05	0.01	0.0	0.01	0.005	0.00118
290	0.005	0.047	1.1442e-05	0.00069632	1e-06	0.0	0.000499	0.01	0.005	0.00248
291	0.005	0.048	1.0295e-05	0.0039936	1e-06	0.0	0.000499	0.01	0.005	0.00596
293	0.005	0.043	0.001002859	0.003584	0.001	0.01	0.0	0.01	0.005	0.00118
295	0.005	0.045	4.13e-07	0.0029696	1e-07	0.01	0.0	0.01	0.005	0.00126
296	0.005	0.043	2.3175e-05	0.0041984	1e-05	0.01	0.0	0.01	0.005	0.00138
298	0.006	0.046	2.4005e-05	0.0005017600000000001	5e-06	0.01	0.0	0.05	0.006	0.00147
299	0.006	0.047	5.7106e-05	0.0027648	1e-05	0.01	0.0	0.02	0.006	0.00128
300	0.006	0.047	2.249e-06	0.0032768	5e-06	0.01	0.0	0.01	0.006	0.00377
301	0.006	0.048	5.16e-07	0.0012288	5e-07	0.01	0.0	0.01	0.0	0.00117
302	0.006	0.039	8.34e-07	0.001536	5e-07	0.01	0.0	0.04	0.006	0.00119
303	0.006	0.040999999999999995	1.01e-06	0.0011264	5e-07	0.01	0.0	0.04	0.006	0.00144
304	0.006	0.044000000000000004	0.00023897	0.0028672	1e-05	0.01	0.0	0.02	0.006	0.00142
305	0.006	0.046	3.02e-07	0.00022528	1e-07	0.01	0.0	0.02	0.006	0.00148
306	0.006	0.045	4.38e-07	0.00034816	1e-07	0.01	0.0	0.01	0.006	0.00336
307	0.006	0.047	7.3e-08	0.0008499200000000001	1e-07	0.01	0.0	0.01	0.006	0.00128
308	0.006	0.044000000000000004	3.9e-08	0.00044031999999999996	1e-07	0.01	0.0	0.03	0.006	0.00148
309	0.006	0.045	1.44e-07	0.00048128	1e-07	0.01	0.0	0.01	0.006	0.00132
310	0.006	0.039	2.181e-06	0.001024	1e-06	0.01	0.0	0.02	0.006	0.00268
311	0.006	0.032	9.3965e-05	0.001536	5e-05	0.01	0.0	0.02	0.006	0.00148
312	0.006	0.032	1.446e-06	0.00072704	1e-06	0.01	0.0	0.04	0.006	0.00194
313	0.006	0.040999999999999995	1.2088e-05	0.0021504	1e-05	0.01	0.0	0.04	0.006	0.00145
314	0.006	0.045	3.14e-07	0.00062464	1e-06	0.01	0.0	0.01	0.006	0.00189
316	0.006	0.042	1.5194e-05	0.001536	1e-05	0.01	0.0	0.02	0.006	0.00132
317	0.006	0.037000000000000005	2.2551e-05	0.0011264	1e-05	0.01	0.0	0.02	0.006	0.00127
318	0.006	0.045	2.9839e-05	0.0029696	1e-05	0.01	0.0	0.02	0.006	0.0012
319	0.006	0.046	2.79e-07	0.00033791999999999996	1e-06	0.01	0.0	0.01	0.006	0.00345
322	0.006	0.047	1.677e-06	0.004096	1e-06	0.01	0.0	0.01	0.006	0.00186
323	0.006	0.044000000000000004	7.57e-07	0.001024	1e-07	0.01	0.0	0.02	0.006	0.00188
324	0.006	0.035	1.15e-07	0.00093184	1e-07	0.01	0.0	0.04	0.006	0.00138
325	0.006	0.033	1.25e-07	0.00048128	5e-08	0.01	0.0	0.02	0.006	0.00127
326	0.006	0.045	9.952e-06	0.0038912	5e-06	0.01	0.0	0.03	0.006	0.0012
328	0.006	0.042	2.1e-08	0.00068608	5e-08	0.01	0.0	0.01	0.006	0.00242
329	0.006	0.05	1.5e-08	0.0037888	1e-08	0.01	0.0	0.01	0.006	0.00155
331	0.006	0.047	3.596e-06	0.0007987199999999999	1e-07	0.01	0.0	0.02	0.006	0.00165
332	0.006	0.044000000000000004	1.006e-06	0.0019456	5e-07	0.01	0.0	0.01	0.006	0.00117
333	0.006	0.044000000000000004	5.968e-06	0.00058368	1e-05	0.01	0.0	0.01	0.006	0.00184
334	0.006	0.046	4.895e-06	0.003584	1e-06	0.01	0.0	0.01	0.006	0.00118
337	0.007	0.043	0.000125257	0.0017408	0.0001	0.01	0.0	0.02	0.007	0.00175
343	0.007	0.043	0.000158679	0.00090112	5e-05	0.01	0.0	0.01	0.007	0.00117
345	0.007	0.043	0.004187998	0.0016384	0.001	0.01	0.0	0.01	0.007	0.00133
346	0.007	0.043	0.000659395	0.0011264	0.001	0.01	0.0	0.01	0.007	0.00174
347	0.007	0.043	0.004785892	0.0011264	0.005	0.01	0.0	0.01	0.007	0.00173
349	0.007	0.043	3.0209e-05	0.001536	5e-05	0.01	0.0	0.01	0.007	0.00123
350	0.007	0.04	3.6901e-05	0.0006758399999999999	5e-05	0.01	0.0	0.01	0.007	0.00147
352	0.007	0.043	0.000192948	0.0006758399999999999	0.0001	0.01	0.0	0.01	0.007	0.00162
355	0.007	0.039	1.3698e-05	0.00052224	0.0001	0.01	0.0	0.01	0.007	0.00149
357	0.007	0.036000000000000004	2.0769e-05	0.0018432	1e-05	0.01	0.0	0.01	0.007	0.0014
358	0.007	0.044000000000000004	3.688e-05	0.0004096	1e-05	0.01	0.0	0.01	0.007	0.00145
362	0.007	0.044000000000000004	0.000615381	0.0037888	0.0001	0.01	0.0	0.04	0.007	0.00118
364	0.007	0.042	3.3053e-05	0.0022528	5e-05	0.01	0.0	0.01	0.007	0.0012
366	0.007	0.044000000000000004	0.00364812	0.00033791999999999996	0.001	0.01	0.0	0.02	0.007	0.00133
367	0.007	0.044000000000000004	0.000136662	0.0032768	0.0001	0.01	0.0	0.01	0.007	0.00121
368	0.007	0.039	4.237e-05	0.0037888	1e-05	0.01	0.0	0.01	0.007	0.00156
374	0.007	0.044000000000000004	2.939e-06	0.0017408	1e-06	0.01	0.0	0.01	0.007	0.00135
377	0.007	0.039	4.0751e-05	0.003584	0.0001	0.01	0.0	0.02	0.007	0.00754
378	0.007	0.045	0.017712922	0.004096	0.005	0.01	0.0	0.02	0.007	0.00118
379	0.007	0.037000000000000005	2.5021e-05	0.0062464	5e-05	0.01	0.0	0.01	0.007	0.00155
380	0.007	0.043	2.7187e-05	0.0067584	5e-05	0.01	0.0	0.01	0.007	0.00123
383	0.007	0.043	0.004785988	0.0011264	0.005	0.01	0.0	0.01	0.007	0.00173
384	0.007	0.04	0.000122498	7.9e-06	0.0001	0.01	0.0	0.01	0.007	0.01183
387	0.007	0.040999999999999995	0.000132014	0.00256	0.0001	0.01	0.0	0.01	0.007	0.00133
