	App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
24	HD Mickey Minnie Wallpapers	1	4.7	118.0	23552.0	50000.0	1	0.0	1	1	144.0	1.1.3	4.1 and up
25	Harley Quinn wallpapers HD	1	4.8	192.0	6144.0	10000.0	1	0.0	1	1	217.0	1.5	3.0 and up
26	Colorfit - Drawing & Coloring	1	4.7	20260.0	25600.0	500000.0	1	0.0	1	0	413.0	1.0.8	4.0.3 and up
27	Animated Photo Editor	1	4.1	203.0	6246.4	100000.0	1	0.0	1	1	252.0	1.03	4.0.3 and up
28	Pencil Sketch Drawing	1	3.9	136.0	4710.4	10000.0	1	0.0	1	1	139.0	6.0	2.3 and up
29	Easy Realistic Drawing Tutorial	1	4.1	223.0	4300.8	100000.0	1	0.0	1	1	463.0	1.0	2.3 and up
30	Pink Silver Bow Keyboard Theme	1	4.2	1120.0	9420.8	100000.0	1	0.0	1	1	139.0	6.7.12.2018	4.0.3 and up
31	Art Drawing Ideas	1	4.1	227.0	5324.8	50000.0	1	0.0	1	1	181.0	1.2	2.3 and up
32	Anime Manga Coloring Book	1	4.5	5035.0	11264.0	100000.0	1	0.0	1	1	132.0	2.20	4.0 and up
33	Easy Origami Ideas	1	4.2	1015.0	11264.0	100000.0	1	0.0	1	1	326.0	1.1.0	4.1 and up
34	I Creative Idea	1	4.7	353.0	4300.8	10000.0	1	0.0	2	1	215.0	1.6	4.1 and up
35	How to draw Ladybug and Cat Noir	1	3.8	564.0	9420.8	100000.0	1	0.0	1	1	140.0	2.1	4.1 and up
36	UNICORN - Color By Number & Pixel Art Coloring	1	4.7	8145.0	24576.0	500000.0	1	0.0	1	0	118.0	1.0.9	4.4 and up
38	PIP Camera - PIP Collage Maker	1	4.7	158.0	11264.0	10000.0	1	0.0	1	1	364.0	1.3	4.0.3 and up
39	How To Color Disney Princess - Coloring Pages	1	4.0	591.0	9625.6	500000.0	1	0.0	1	1	242.0	1	4.0 and up
40	Drawing Clothes Fashion Ideas	1	4.2	117.0	15360.0	10000.0	1	0.0	1	1	131.0	2.0.1	4.0.3 and up
41	Sad Poetry Photo Frames 2018	1	4.5	176.0	10240.0	100000.0	1	0.0	1	1	240.0	1.0	4.0.3 and up
43	Paint Splash!	1	3.8	2206.0	1228.8	100000.0	1	0.0	1	0	227.0	1.46	4.1 and up
44	Popsicle Sticks and Similar DIY Craft Ideas	1	4.2	26.0	12288.0	10000.0	1	0.0	1	1	329.0	1.0.0	4.1 and up
45	Canva: Poster banner card maker & graphic design	1	4.7	174531.0	24576.0	10000000.0	1	0.0	1	1	120.0	1.6.1	4.1 and up
46	Install images with music to make video without Net - 2018	1	4.6	1070.0	26624.0	100000.0	1	0.0	1	1	379.0	1.6	4.1 and up
47	Little Teddy Bear Colouring Book Game	1	4.2	85.0	8192.0	100000.0	1	0.0	1	1	346.0	2.0.0	4.1 and up
48	How To Draw Food	1	4.3	845.0	8089.6	100000.0	1	0.0	1	1	184.0	1.0	2.3 and up
49	Monster Truck Stunt 3D 2019	2	4.2	367.0	25600.0	100000.0	1	0.0	1	2	202.0	1.0	4.0.3 and up
50	Real Tractor Farming	2	4.0	1598.0	57344.0	1000000.0	1	0.0	1	2	125.0	11.0	4.1 and up
51	Ultimate F1 Racing Championship	2	3.8	284.0	58368.0	100000.0	1	0.0	1	2	125.0	3.0	4.1 and up
53	American Muscle Car Race	2	3.9	129.0	35840.0	100000.0	1	0.0	1	2	125.0	3.0	4.1 and up
54	Offroad Oil Tanker Driver Transport Truck 2019	2	4.3	542.0	33792.0	100000.0	1	0.0	1	2	120.0	4.0	4.1 and up
55	Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru	2	4.9	10479.0	33792.0	100000.0	1	0.0	1	2	133.0	1.7.1	4.0 and up
56	Gas Prices (Germany only)	2	4.4	805.0	5734.4	50000.0	1	0.0	1	2	122.0	2.5.1	4.4 and up
57	Extreme Rally Championship	2	4.2	129.0	55296.0	100000.0	1	0.0	1	2	125.0	3.0	4.1 and up
58	Restart Navigator	2	4.0	1403.0	201.0	100000.0	1	0.0	1	2	1555.0	1.0.1	2.2 and up
59	REG - Check the regnumber find information about Swedish vehicles	2	3.9	3971.0	3686.4	100000.0	1	0.0	1	2	121.0	2.493	4.4 and up
60	CityBus Lviv	2	4.6	534.0	5836.8	10000.0	1	0.0	1	2	143.0	1.9.1	4.0.3 and up
61	CDL Practice Test 2018 Edition	2	4.9	7774.0	17408.0	100000.0	1	0.0	1	2	148.0	1.7	4.2 and up
62	ezETC (ETC balance inquiry meter trial real-time traffic)	2	4.3	38846.0	8806.4	1000000.0	1	0.0	1	2	123.0	2.20 Build 02	4.1 and up
63	Free VIN Report for Used Cars	2	4.6	2431.0	2457.6	100000.0	1	0.0	1	2	169.0	1.37	4.0 and up
64	DMV Permit Practice Test 2018 Edition	2	4.9	6090.0	27648.0	100000.0	1	0.0	1	2	148.0	1.7	4.2 and up
65	Check Vehicle Tax	2	3.9	295.0	2764.8	10000.0	1	0.0	1	2	121.0	0.2.1	4.4 and up
66	Used Cars Mexico	2	4.0	190.0	2560.0	50000.0	1	0.0	1	2	775.0	1.0	2.3 and up
69	Used cars for sale - Trovit	2	4.2	52530.0	7168.0	5000000.0	1	0.0	1	2	135.0	4.47.3	4.0.3 and up
70	Fines of the State Traffic Safety Inspectorate are official: inspection payment of fines	2	4.8	116986.0	35840.0	5000000.0	1	0.0	1	2	118.0	1.9.7	4.0.3 and up
71	SK Enca Direct Malls - Used Cars Search	2	3.6	1379.0	16384.0	500000.0	1	0.0	1	2	118.0	2.2.21	4.2 and up
72	Android Auto - Maps Media Messaging & Voice	2	4.2	271920.0	16384.0	10000000.0	1	0.0	2	2	140.0	Varies with device	5.0 and up
74	Tickets SDA 2019 + Exam RF	2	4.8	7021.0	17408.0	500000.0	1	0.0	1	2	124.0	1.79	4.0 and up
75	Super Cars Wallpapers And Backgrounds	2	4.6	197.0	3481.6	50000.0	1	0.0	1	2	167.0	1.3	4.0 and up
76	Police Lights Sirens & Follow Me	2	4.5	737.0	9113.6	100000.0	1	0.0	1	2	173.0	2.3.5.1	4.1 and up
77	Police Detector (Speed Camera Radar)	2	4.3	3574.0	3993.6	1000000.0	1	0.0	3	2	147.0	1.6	4.0 and up
78	Best Car Wallpapers	2	4.5	994.0	2969.6	100000.0	1	0.0	1	2	246.0	1.6	4.1 and up
79	Tickets + PDA 2018 Exam	2	4.9	197136.0	38912.0	1000000.0	1	0.0	1	2	136.0	8.31	4.1 and up
80	Pick Your Part Garage	2	3.9	142.0	32768.0	50000.0	1	0.0	1	2	127.0	1.1.5.0	6.0 and up
81	PakWheels: Buy & Sell Cars	2	4.4	15168.0	37888.0	1000000.0	1	0.0	1	2	124.0	10.0.2	4.2 and up
82	Supervision service	2	4.0	2155.0	15360.0	500000.0	1	0.0	1	2	121.0	1.10.3	5.0 and up
83	Speed Camera Detector - Traffic & Speed Alert	2	4.3	138.0	5529.6	100000.0	1	0.0	1	2	128.0	1.0	4.0.3 and up
84	Used car search Goo net whole car Go to net	2	3.7	5414.0	18432.0	1000000.0	1	0.0	1	2	128.0	3.20.1	4.4 and up
86	BEST CAR SOUNDS	2	4.3	348.0	38912.0	100000.0	1	0.0	1	2	122.0	1.0.3	2.3 and up
87	RST - Sale of cars on the PCT	2	3.2	250.0	1126.4	100000.0	1	0.0	1	2	215.0	1.4	4.0.3 and up
90	SMS Park	2	4.5	3617.0	8089.6	100000.0	1	0.0	1	2	196.0	2.8.2	4.1 and up
91	SKencar	2	3.7	4806.0	35840.0	1000000.0	1	0.0	1	2	120.0	4.0.3	4.0.3 and up
93	auto fines	2	4.6	31433.0	17408.0	1000000.0	1	0.0	1	2	118.0	1.40	4.0.3 and up
94	Used car is the first car - used car purchase used car quotation dealer information to	2	4.6	5097.0	19456.0	1000000.0	1	0.0	1	2	128.0	1.5.18	4.0.3 and up
95	All of the parking lot - National Park application (parking lot search / parking sharing / discount payment)	2	4.0	1754.0	14336.0	500000.0	1	0.0	1	2	179.0	2.3.4	4.0 and up
96	Inquiry Fines and Debits of Vehicles	2	4.4	2680.0	2252.8	500000.0	1	0.0	1	2	253.0	1.03	4.0.3 and up
97	Gas Station	2	4.0	1288.0	4608.0	100000.0	1	0.0	1	2	221.0	2.17	4.0 and up
98	Hush - Beauty for Everyone	3	4.7	18900.0	17408.0	500000.0	1	0.0	1	3	118.0	6.10.1	5.0 and up
99	ipsy: Makeup Beauty and Tips	3	4.9	49790.0	14336.0	1000000.0	1	0.0	1	3	384.0	2.3.0	4.1 and up
100	Natural recipes for your beauty	3	4.7	1150.0	10035.2	100000.0	1	0.0	1	3	197.0	4.0	4.1 and up
101	BestCam Selfie-selfie beauty camera photo editor	3	3.9	1739.0	21504.0	500000.0	1	0.0	1	3	139.0	1.0.6	4.0.3 and up
103	Beauty Selfie Camera	3	4.2	2225.0	53248.0	500000.0	1	0.0	1	3	273.0	1.6	4.1 and up
104	Hairstyles step by step	3	4.6	4369.0	14336.0	100000.0	1	0.0	1	3	126.0	1.9	4.0.3 and up
105	Filters for Selfie	3	4.3	8572.0	25600.0	1000000.0	1	0.0	1	3	202.0	1.1.0	4.0 and up
106	Tie - Always be happy	3	4.7	964.0	9216.0	50000.0	1	0.0	1	3	160.0	4.0	4.2 and up
108	Prom MakeUp Tutorial	3	4.8	104.0	12288.0	10000.0	1	0.0	1	3	155.0	1.3	4.0.3 and up
110	Sweet Selfie Beauty Camera	3	4.3	601.0	35840.0	100000.0	1	0.0	1	3	179.0	2.0.0	4.0 and up
111	Colors of white in Urdu	3	4.5	36.0	6860.8	10000.0	1	0.0	1	3	125.0	6.0	4.0 and up
112	Selfie Camera Photo Editor & Filter & Sticker	3	4.1	187.0	30720.0	50000.0	1	0.0	2	3	127.0	3.0.1	4.0.3 and up
114	Eyes Makeup Beauty Tips	3	4.2	30.0	2969.6	10000.0	1	0.0	1	3	233.0	3.3.9	4.0.3 and up
115	Photo Editor 2018	3	4.5	134.0	17408.0	10000.0	1	0.0	1	3	272.0	1.20	4.0.3 and up
116	Step By Step Eyes Makeup Tutorial	3	4.4	74.0	2969.6	10000.0	1	0.0	1	3	237.0	2.3.09	4.0.3 and up
119	Mirror Camera (Mirror + Selfie Camera)	3	4.1	9315.0	2662.4	1000000.0	1	0.0	1	3	372.0	1.4.2	4.0 and up
120	Beauty Tips - Beauty Tips in Sinhala	3	4.4	75.0	4300.8	50000.0	1	0.0	1	3	406.0	1.0.0	4.0.3 and up
121	Haircut Tutorials/Haircut Videos	3	4.6	38.0	7270.4	10000.0	1	0.0	1	3	183.0	1.0	4.0 and up
122	Sephora: Skin Care Beauty Makeup & Fragrance Shop	3	4.5	26834.0	58368.0	1000000.0	1	0.0	1	3	127.0	18.5	5.0 and up
124	Sticker Camera - Selfie Filters Beauty Camera	3	3.9	2277.0	22528.0	500000.0	1	0.0	1	3	139.0	1.1.0	4.0.3 and up
125	Filters for B Live	3	4.4	2280.0	24576.0	500000.0	1	0.0	1	3	198.0	1.1.0	4.0 and up
127	Facial Wrinkle Reduction	3	4.6	184.0	21504.0	10000.0	1	0.0	1	3	149.0	1.5	4.1 and up
128	Makeup Videos	3	3.8	9.0	3481.6	5000.0	1	0.0	1	3	174.0	1.0	4.0 and up
131	Discover Color	3	4.0	364.0	6553.6	100000.0	1	0.0	1	3	188.0	1.1	4.0.3 and up
132	Eyeliner step by step 2018	3	4.3	18.0	3276.8	5000.0	1	0.0	1	3	180.0	1.2.13	4.0.3 and up
133	Dresses Ideas & Fashions +3000	3	4.5	473.0	8396.8	100000.0	1	0.0	4	3	637.0	1.0.2.0	1.6 and up
135	Step By Step Hairstyles For Women	3	4.1	66.0	2969.6	10000.0	1	0.0	1	3	237.0	3.1.89	4.0.3 and up
136	Rainbow Camera	3	3.7	3871.0	23552.0	1000000.0	1	0.0	1	3	121.0	2.2.0	4.0 and up
137	Methods of teeth whitening	3	4.7	257.0	4710.4	50000.0	1	0.0	1	3	478.0	1.0	4.0.3 and up
138	Girls hairstyles 2018	3	4.2	62.0	3174.4	10000.0	1	0.0	1	3	184.0	1.9.2	4.0.3 and up
140	E-Book Read - Read Book for free	4	4.5	1857.0	5017.6	50000.0	1	0.0	1	4	117.0	1.3.2	4.4 and up
141	Download free book with green book	4	4.6	4478.0	9728.0	100000.0	1	0.0	3	4	485.0	1.1	4.0 and up
147	Free Panda Radio Music	4	4.5	418.0	4300.8	100000.0	1	0.0	1	4	246.0	2.1	4.1 and up
148	Book store	4	4.4	22486.0	5529.6	1000000.0	1	0.0	2	4	175.0	3.2.1	4.0 and up
150	English Grammar Complete Handbook	4	4.6	1435.0	2867.2	500000.0	1	0.0	1	4	311.0	1.0	4.0 and up
151	Free Books - Spirit Fanfiction and Stories	4	4.8	116507.0	5120.0	1000000.0	1	0.0	2	4	119.0	2.0.075	4.0.3 and up
153	AlReader -any text book reader	4	4.6	90468.0	6041.6	5000000.0	1	0.0	1	4	185.0	1.911805270	2.3 and up
154	Offline English Dictionary	4	4.2	860.0	13312.0	100000.0	1	0.0	1	4	134.0	1.0	4.0.3 and up
155	Oxford Dictionary of English : Free	4	4.1	363934.0	7270.4	10000000.0	1	0.0	1	4	140.0	9.1.363	4.1 and up
156	Offline: English to Tagalog Dictionary	4	4.7	967.0	6860.8	500000.0	1	0.0	1	4	116.0	1.1.6	4.0.3 and up
158	FamilySearch Tree	4	4.3	17506.0	17408.0	1000000.0	1	0.0	1	4	131.0	2.3.18	4.1 and up
159	Cloud of Books	4	3.3	1862.0	19456.0	1000000.0	1	0.0	1	4	215.0	2.2.5	4.1 and up
160	Recipes of Prophetic Medicine for free	4	4.6	2084.0	6860.8	500000.0	1	0.0	1	4	195.0	15.0	2.3 and up
161	ReadEra – free ebook reader	4	4.8	47303.0	21504.0	1000000.0	1	0.0	1	4	179.0	18.05.31+530	4.1 and up
164	Ebook Reader	4	4.1	85842.0	37888.0	5000000.0	1	0.0	1	4	156.0	5.0.6	4.0 and up
165	Litnet - E-books	4	4.6	7831.0	15360.0	100000.0	1	0.0	2	4	147.0	1.2.3	4.0 and up
166	Read books online	4	4.1	91615.0	23552.0	5000000.0	1	0.0	4	4	152.0	3.12	4.1 and up
167	English to Urdu Dictionary	4	4.6	4620.0	19456.0	500000.0	1	0.0	1	4	370.0	2.0	4.0.3 and up
168	eBoox: book reader fb2 epub zip	4	4.7	21336.0	23552.0	1000000.0	1	0.0	1	4	161.0	1.28	3.0 and up
169	English Persian Dictionary	4	4.5	26875.0	74752.0	500000.0	1	0.0	1	4	119.0	6.0.8	4.0.3 and up
170	Flybook	4	3.9	1778.0	5017.6	500000.0	1	0.0	4	4	1504.0	1.0.3	2.1 and up
171	All Maths Formulas	4	4.4	2709.0	6963.2	1000000.0	1	0.0	1	4	140.0	1.9	4.4 and up
174	English translation from Bengali	4	4.5	527.0	2969.6	100000.0	1	0.0	1	4	242.0	14.0	4.0 and up
175	Pdf Book Download - Read Pdf Book	4	4.4	1322.0	3584.0	100000.0	1	0.0	1	4	184.0	6.0	4.0.3 and up
176	Free Book Reader	4	3.4	1680.0	4096.0	100000.0	1	0.0	1	4	830.0	3.05	4.0.3 and up
177	eBoox new: Reader for fb2 epub zip books	4	4.9	2739.0	21504.0	50000.0	1	0.0	1	4	134.0	2.0	3.0 and up
178	Only 30 days in English the guideline is guaranteed	4	4.6	1065.0	2355.2	500000.0	1	0.0	1	4	165.0	1.5	3.0 and up
181	English-Myanmar Dictionary	4	4.4	8788.0	10240.0	1000000.0	1	0.0	1	4	123.0	2.5.3	4.0 and up
182	Golden Dictionary (EN-AR)	4	4.4	51269.0	6246.4	1000000.0	1	0.0	1	4	132.0	7.0.4.6	4.2 and up
183	All Language Translator Free	4	4.4	30105.0	2150.4	1000000.0	1	0.0	1	4	122.0	1.15	4.0.3 and up
184	Azpen eReader	4	3.5	156.0	43008.0	500000.0	1	0.0	1	4	286.0	3.1.7.9	2.2 and up
186	English Dictionary - Offline	4	4.4	341157.0	30720.0	10000000.0	1	0.0	3	4	253.0	3.9.1	4.2 and up
190	ADP Mobile Solutions	5	4.3	85185.0	29696.0	5000000.0	1	0.0	1	5	134.0	3.4.2	5.0 and up
194	OfficeSuite : Free Office + PDF Editor	5	4.3	1002861.0	35840.0	100000000.0	1	0.0	1	5	118.0	9.7.14188	4.1 and up
195	USPS MOBILE®	5	3.9	16589.0	9318.4	1000000.0	1	0.0	1	5	167.0	4.9.10	4.0.3 and up
196	Job Search by ZipRecruiter	5	4.8	148945.0	25600.0	1000000.0	1	0.0	1	5	132.0	5.2.8	5.0 and up
197	Curriculum vitae App CV Builder Free Resume Maker	5	4.5	4458.0	3993.6	500000.0	1	0.0	1	5	143.0	3.3	4.1 and up
198	Google Primer	5	4.4	62272.0	18432.0	10000000.0	1	0.0	1	5	155.0	3.550.2	4.1 and up
199	Alba Heaven - Alvarez Job Portal Services	5	4.0	8941.0	12288.0	5000000.0	1	0.0	1	5	120.0	4.6.30	4.0.3 and up
200	SuperLivePro	5	4.3	46353.0	21504.0	1000000.0	1	0.0	1	5	959.0	2.8	1.5 and up
205	Polaris Office for LG	5	4.2	30847.0	56320.0	5000000.0	1	0.0	1	5	293.0	7.3.21	4.1 and up
206	Call Blocker	5	4.6	188841.0	3276.8	5000000.0	1	0.0	1	5	160.0	1.1.13	4.0 and up
209	Plugin:AOT v5.0	5	3.1	4034.0	23.0	100000.0	1	0.0	1	5	1174.0	3.0.1.11 (Build 311)	2.2 and up
210	Kariyer.net	5	3.9	45964.0	16384.0	1000000.0	1	0.0	1	5	133.0	5.1.5	4.1 and up
212	Become a Job - Find a job or advertise	5	4.1	6903.0	14336.0	1000000.0	1	0.0	1	5	141.0	2.3.6	4.1 and up
213	ZOOM Cloud Meetings	5	4.4	31614.0	37888.0	10000000.0	1	0.0	1	5	131.0	4.1.28165.0716	4.0 and up
216	IndiaMART: Search Products Buy Sell & Trade	5	4.5	207372.0	11264.0	5000000.0	1	0.0	1	5	118.0	12.2.4	4.0 and up
217	ViettelPost express delivery	5	4.4	1225.0	25600.0	100000.0	1	0.0	1	5	119.0	1.0.6.8	4.1 and up
218	MyASUS - Service Center	5	4.4	380837.0	7475.2	10000000.0	1	0.0	1	5	147.0	3.4.5	4.2 and up
219	Job Korea - Career Jobs	5	4.3	10600.0	6656.0	1000000.0	1	0.0	1	5	119.0	2.5.6	4.0 and up
220	104 Looking for a job - looking for a job looking for a job looking for a part-time job health checkup resume treatment room	5	4.4	74359.0	25600.0	1000000.0	1	0.0	1	5	124.0	1.12.5	4.0 and up
221	Myanmar 2D/3D	5	4.6	822.0	3174.4	100000.0	1	0.0	1	5	173.0	1.5	4.0.3 and up
223	sABN	5	4.4	2287.0	1536.0	1000000.0	1	0.0	1	5	247.0	4.9	2.2 and up
224	ATI Cargoes and Transportation	5	4.7	4162.0	7680.0	100000.0	1	0.0	1	5	127.0	0.9.4	4.0.3 and up
225	Secure Folder	5	3.8	14760.0	8806.4	50000000.0	1	0.0	1	5	301.0	1.1.07.6	7.0 and up
231	Tiny Scanner - PDF Scanner App	5	4.7	286897.0	39936.0	10000000.0	1	0.0	1	5	547.0	1.2.6	3.0 and up
232	Fast Scanner : Free PDF Scan	5	4.5	103755.0	14336.0	10000000.0	1	0.0	1	5	140.0	3.9.2	4.1 and up
233	Mobile Doc Scanner (MDScan) Lite	5	4.2	46505.0	19456.0	1000000.0	1	0.0	1	5	118.0	3.4.49	4.1 and up
234	TurboScan: scan documents and receipts in PDF	5	4.7	11442.0	6963.2	100000.0	0	4.99	1	5	248.0	1.5.2	4.0 and up
235	Tiny Scanner Pro: PDF Doc Scan	5	4.8	10295.0	39936.0	100000.0	0	4.99	1	5	596.0	3.4.6	3.0 and up
237	Zenefits	5	4.2	296.0	14336.0	50000.0	1	0.0	1	5	166.0	3.2.1	4.1 and up
238	Google Ads	5	4.3	29313.0	20480.0	5000000.0	1	0.0	1	5	121.0	1.12.0	4.0.3 and up
241	FreshBooks Classic	5	4.1	1802.0	26624.0	100000.0	1	0.0	1	5	224.0	1.7.14	4.2 and up
242	Insightly CRM	5	3.8	1383.0	52224.0	100000.0	1	0.0	1	5	139.0	3.24.1	5.0 and up
243	QuickBooks Accounting: Invoicing & Expenses	5	4.3	23175.0	41984.0	1000000.0	1	0.0	1	5	138.0	18.7	4.1 and up
244	HipChat - Chat Built for Teams	5	3.8	5868.0	20480.0	500000.0	1	0.0	1	5	148.0	3.19.005	4.1 and up
246	MailChimp - Email Marketing Automation	5	4.1	5448.0	12288.0	500000.0	1	0.0	1	5	126.0	4.9.1	5.0 and up
247	Crew - Free Messaging and Scheduling	5	4.6	4159.0	49152.0	500000.0	1	0.0	1	5	131.0	6.1.2	4.0.3 and up
248	Asana: organize team projects	5	4.3	20815.0	10240.0	1000000.0	1	0.0	1	5	125.0	6.4.4	5.0 and up
249	Google Analytics	5	4.5	78662.0	22528.0	1000000.0	1	0.0	1	5	288.0	3.7.5	4.4 and up
250	AdWords Express	5	4.1	7149.0	11264.0	1000000.0	1	0.0	1	5	120.0	2.6.158	4.0 and up
251	Accounting App - Zoho Books	5	4.5	3079.0	8704.0	100000.0	1	0.0	1	5	118.0	5.20.7	4.1 and up
252	Invoice & Time Tracking - Zoho	5	4.6	5800.0	8806.4	100000.0	1	0.0	1	5	118.0	5.20.7	4.1 and up
254	Invoice 2go — Professional Invoices and Estimates	5	4.2	16422.0	28672.0	1000000.0	1	0.0	1	5	119.0	10.46.2	4.1 and up
255	Cisco Webex Meetings	5	4.4	108741.0	28672.0	10000000.0	1	0.0	1	5	131.0	11.1.0	4.3 and up
256	ZOOM Cloud Meetings	5	4.4	31614.0	37888.0	10000000.0	1	0.0	1	5	131.0	4.1.28165.0716	4.0 and up
257	ScreenMeet. Easy Phone Meeting	5	4.0	624.0	9216.0	100000.0	1	0.0	1	5	251.0	1.2.287	5.0 and up
258	Cisco Webex Teams	5	4.2	1661.0	47104.0	100000.0	1	0.0	1	5	118.0	3.0.4651	4.4 and up
260	Start Meeting	5	4.1	308.0	14336.0	50000.0	1	0.0	1	5	183.0	3.1.4.0	4.0.3 and up
262	ClickMeeting Webinars	5	3.8	5211.0	26624.0	1000000.0	1	0.0	1	5	121.0	3.3.0	4.0 and up
263	BlueJeans for Android	5	3.9	1058.0	23552.0	500000.0	1	0.0	1	5	152.0	2.22.397	5.0 and up
266	Zenefits	5	4.2	296.0	14336.0	50000.0	1	0.0	1	5	166.0	3.2.1	4.1 and up
267	Google Ads	5	4.3	29313.0	20480.0	5000000.0	1	0.0	1	5	121.0	1.12.0	4.0.3 and up
270	FreshBooks Classic	5	4.1	1802.0	26624.0	100000.0	1	0.0	1	5	224.0	1.7.14	4.2 and up
271	Insightly CRM	5	3.8	1383.0	52224.0	100000.0	1	0.0	1	5	139.0	3.24.1	5.0 and up
272	QuickBooks Accounting: Invoicing & Expenses	5	4.3	23175.0	41984.0	1000000.0	1	0.0	1	5	138.0	18.7	4.1 and up
273	HipChat - Chat Built for Teams	5	3.8	5868.0	20480.0	500000.0	1	0.0	1	5	148.0	3.19.005	4.1 and up
275	MailChimp - Email Marketing Automation	5	4.1	5448.0	12288.0	500000.0	1	0.0	1	5	126.0	4.9.1	5.0 and up
276	Crew - Free Messaging and Scheduling	5	4.6	4159.0	49152.0	500000.0	1	0.0	1	5	131.0	6.1.2	4.0.3 and up
277	Asana: organize team projects	5	4.3	20815.0	10240.0	1000000.0	1	0.0	1	5	125.0	6.4.4	5.0 and up
278	Google Analytics	5	4.5	78662.0	22528.0	1000000.0	1	0.0	1	5	288.0	3.7.5	4.4 and up
279	AdWords Express	5	4.1	7149.0	11264.0	1000000.0	1	0.0	1	5	120.0	2.6.158	4.0 and up
280	Accounting App - Zoho Books	5	4.5	3079.0	8704.0	100000.0	1	0.0	1	5	118.0	5.20.7	4.1 and up
281	Invoice & Time Tracking - Zoho	5	4.6	5800.0	8806.4	100000.0	1	0.0	1	5	118.0	5.20.7	4.1 and up
283	Invoice 2go — Professional Invoices and Estimates	5	4.2	16422.0	28672.0	1000000.0	1	0.0	1	5	119.0	10.46.2	4.1 and up
287	Tiny Scanner - PDF Scanner App	5	4.7	286897.0	39936.0	10000000.0	1	0.0	1	5	547.0	1.2.6	3.0 and up
288	Fast Scanner : Free PDF Scan	5	4.5	103755.0	14336.0	10000000.0	1	0.0	1	5	140.0	3.9.2	4.1 and up
289	Mobile Doc Scanner (MDScan) Lite	5	4.2	46505.0	19456.0	1000000.0	1	0.0	1	5	118.0	3.4.49	4.1 and up
290	TurboScan: scan documents and receipts in PDF	5	4.7	11442.0	6963.2	100000.0	0	4.99	1	5	248.0	1.5.2	4.0 and up
