PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
288,0,0.3,1,0.22,0.0,0.0,0.0078958
289,1,0.2,1,0.42,0.0,0.0,0.013
290,1,0.3,0,0.22,0.0,0.0,0.00775
291,1,0.1,0,0.26,0.0,0.0,0.07884999999999999
292,1,0.1,0,0.19,0.1,0.0,0.0910792
293,0,0.2,1,0.36,0.0,0.0,0.012875
294,0,0.3,0,0.24,0.0,0.0,0.00885
295,0,0.3,1,0.24,0.0,0.0,0.0078958
297,0,0.3,1,0.235,0.0,0.0,0.0072292
298,0,0.1,0,0.02,0.1,0.2,0.15155000000000002
300,1,0.1,0,0.5,0.0,0.1,0.2475208
303,0,0.3,1,0.19,0.0,0.0,0.0
306,1,0.1,1,0.0092,0.1,0.2,0.15155000000000002
308,1,0.1,0,0.17,0.1,0.0,0.10890000000000001
309,0,0.2,1,0.3,0.1,0.0,0.024
310,1,0.1,0,0.3,0.0,0.0,0.0569292
311,1,0.1,0,0.24,0.0,0.0,0.08315829999999999
312,1,0.1,0,0.18,0.2,0.2,0.262375
313,0,0.2,0,0.26,0.1,0.1,0.026
314,0,0.3,1,0.28,0.0,0.0,0.0078958
315,0,0.2,1,0.43,0.1,0.1,0.02625
316,1,0.3,0,0.26,0.0,0.0,0.0078542
317,1,0.2,0,0.24,0.1,0.0,0.026
318,0,0.2,1,0.54,0.0,0.0,0.014
319,1,0.1,0,0.31,0.0,0.2,0.1648667
320,1,0.1,0,0.4,0.1,0.1,0.1345
321,0,0.3,1,0.22,0.0,0.0,0.00725
322,0,0.3,1,0.27,0.0,0.0,0.0078958
323,1,0.2,0,0.3,0.0,0.0,0.01235
324,1,0.2,0,0.22,0.1,0.1,0.029
326,1,0.1,0,0.36,0.0,0.0,0.13563329999999998
327,0,0.3,1,0.61,0.0,0.0,0.0062375
328,1,0.2,0,0.36,0.0,0.0,0.013
329,1,0.3,0,0.31,0.1,0.1,0.020524999999999998
330,1,0.1,0,0.16,0.0,0.1,0.0579792
332,0,0.1,1,0.455,0.0,0.0,0.0285
333,0,0.1,1,0.38,0.0,0.1,0.1534625
334,0,0.3,1,0.16,0.2,0.0,0.018
337,0,0.1,1,0.29,0.1,0.0,0.06659999999999999
338,1,0.1,0,0.41,0.0,0.0,0.1345
339,1,0.3,1,0.45,0.0,0.0,0.00805
340,0,0.1,1,0.45,0.0,0.0,0.0355
341,1,0.2,1,0.02,0.1,0.1,0.026
342,1,0.1,0,0.24,0.3,0.2,0.263
343,0,0.2,1,0.28,0.0,0.0,0.013
344,0,0.2,1,0.25,0.0,0.0,0.013
345,0,0.2,1,0.36,0.0,0.0,0.013
346,1,0.2,0,0.24,0.0,0.0,0.013
347,1,0.2,0,0.4,0.0,0.0,0.013
349,1,0.3,1,0.03,0.1,0.1,0.0159
350,0,0.3,1,0.42,0.0,0.0,0.0086625
351,0,0.3,1,0.23,0.0,0.0,0.009224999999999999
353,0,0.3,1,0.15,0.1,0.1,0.0072292
354,0,0.3,1,0.25,0.1,0.0,0.0178
356,0,0.3,1,0.28,0.0,0.0,0.0095
357,1,0.1,0,0.22,0.0,0.1,0.055
358,0,0.2,0,0.38,0.0,0.0,0.013
361,0,0.3,1,0.4,0.1,0.4,0.027899999999999998
362,0,0.2,1,0.29,0.1,0.0,0.0277208
363,0,0.3,0,0.45,0.0,0.1,0.0144542
364,0,0.3,1,0.35,0.0,0.0,0.00705
366,0,0.3,1,0.3,0.0,0.0,0.00725
367,1,0.1,0,0.6,0.1,0.0,0.07525
370,1,0.1,0,0.24,0.0,0.0,0.0693
371,1,0.1,1,0.25,0.1,0.0,0.0554417
372,0,0.3,1,0.18,0.1,0.0,0.0064958
373,0,0.3,1,0.19,0.0,0.0,0.00805
374,0,0.1,1,0.22,0.0,0.0,0.13563329999999998
375,0,0.3,0,0.03,0.3,0.1,0.021075
377,1,0.3,0,0.22,0.0,0.0,0.00725
378,0,0.1,1,0.27,0.0,0.2,0.2115
379,0,0.3,1,0.2,0.0,0.0,0.0040125000000000004
380,0,0.3,1,0.19,0.0,0.0,0.007775000000000001
381,1,0.1,0,0.42,0.0,0.0,0.227525
382,1,0.3,0,0.01,0.0,0.2,0.0157417
383,0,0.3,1,0.32,0.0,0.0,0.007925
384,1,0.1,0,0.35,0.1,0.0,0.052
386,0,0.2,1,0.18,0.0,0.0,0.0735
387,0,0.3,1,0.01,0.5,0.2,0.0469
388,1,0.2,0,0.36,0.0,0.0,0.013
390,1,0.2,0,0.17,0.0,0.0,0.012
391,1,0.1,1,0.36,0.1,0.2,0.12
392,1,0.3,1,0.21,0.0,0.0,0.007795799999999999
393,0,0.3,1,0.28,0.2,0.0,0.007925
394,1,0.1,0,0.23,0.1,0.0,0.113275
395,1,0.3,0,0.24,0.0,0.2,0.0167
396,0,0.3,1,0.22,0.0,0.0,0.007795799999999999
397,0,0.3,0,0.31,0.0,0.0,0.0078542
398,0,0.2,1,0.46,0.0,0.0,0.026
399,0,0.2,1,0.23,0.0,0.0,0.0105
400,1,0.2,0,0.28,0.0,0.0,0.01265
401,1,0.3,1,0.39,0.0,0.0,0.007925
402,0,0.3,1,0.26,0.0,0.0,0.00805
403,0,0.3,0,0.21,0.1,0.0,0.009824999999999999
404,0,0.3,1,0.28,0.1,0.0,0.01585
405,0,0.3,0,0.2,0.0,0.0,0.0086625
406,0,0.2,1,0.34,0.1,0.0,0.021
407,0,0.3,1,0.51,0.0,0.0,0.00775
408,1,0.2,1,0.03,0.1,0.1,0.01875
409,0,0.3,1,0.21,0.0,0.0,0.007775000000000001
413,1,0.1,0,0.33,0.1,0.0,0.09
415,1,0.3,1,0.44,0.0,0.0,0.007925
417,1,0.2,0,0.34,0.1,0.1,0.0325
418,1,0.2,0,0.18,0.0,0.2,0.013
419,0,0.2,1,0.3,0.0,0.0,0.013
420,0,0.3,0,0.1,0.0,0.2,0.024149999999999998
422,0,0.3,1,0.21,0.0,0.0,0.0077333
423,0,0.3,1,0.29,0.0,0.0,0.007875
424,0,0.3,0,0.28,0.1,0.1,0.0144
425,0,0.3,1,0.18,0.1,0.1,0.020212499999999998
427,1,0.2,0,0.28,0.1,0.0,0.026
428,1,0.2,0,0.19,0.0,0.0,0.026
430,1,0.3,1,0.32,0.0,0.0,0.00805
431,1,0.1,1,0.28,0.0,0.0,0.02655
433,1,0.2,0,0.42,0.1,0.0,0.026
434,0,0.3,1,0.17,0.0,0.0,0.007125
435,0,0.1,1,0.5,0.1,0.0,0.0559
436,1,0.1,0,0.14,0.1,0.2,0.12
437,0,0.3,0,0.21,0.2,0.2,0.034375
438,1,0.2,0,0.24,0.2,0.3,0.01875
439,0,0.1,1,0.64,0.1,0.4,0.263
440,0,0.2,1,0.31,0.0,0.0,0.0105
441,1,0.2,0,0.45,0.1,0.1,0.02625
442,0,0.3,1,0.2,0.0,0.0,0.0095
443,0,0.3,1,0.25,0.1,0.0,0.007775000000000001
444,1,0.2,0,0.28,0.0,0.0,0.013
446,1,0.1,1,0.04,0.0,0.2,0.0818583
447,1,0.2,0,0.13,0.0,0.1,0.0195
448,1,0.1,1,0.34,0.0,0.0,0.02655
449,1,0.3,0,0.05,0.2,0.1,0.0192583
450,1,0.1,1,0.52,0.0,0.0,0.0305
451,0,0.2,1,0.36,0.1,0.2,0.02775
453,0,0.1,1,0.3,0.0,0.0,0.02775
454,1,0.1,1,0.49,0.1,0.0,0.08910420000000001
456,1,0.3,1,0.29,0.0,0.0,0.0078958
457,0,0.1,1,0.65,0.0,0.0,0.02655
459,1,0.2,0,0.5,0.0,0.0,0.0105
461,1,0.1,1,0.48,0.0,0.0,0.02655
462,0,0.3,1,0.34,0.0,0.0,0.00805
463,0,0.1,1,0.47,0.0,0.0,0.0385
464,0,0.2,1,0.48,0.0,0.0,0.013
466,0,0.3,1,0.38,0.0,0.0,0.00705
468,0,0.1,1,0.56,0.0,0.0,0.02655
470,1,0.3,0,0.0075,0.2,0.1,0.0192583
472,0,0.3,1,0.38,0.0,0.0,0.0086625
473,1,0.2,0,0.33,0.1,0.2,0.02775
474,1,0.2,0,0.23,0.0,0.0,0.0137917
475,0,0.3,0,0.22,0.0,0.0,0.0098375
477,0,0.2,1,0.34,0.1,0.0,0.021
478,0,0.3,1,0.29,0.1,0.0,0.0070458
479,0,0.3,1,0.22,0.0,0.0,0.0075208
480,1,0.3,0,0.02,0.0,0.1,0.0122875
481,0,0.3,1,0.09,0.5,0.2,0.0469
483,0,0.3,1,0.5,0.0,0.0,0.00805
484,1,0.3,0,0.63,0.0,0.0,0.0095875
485,1,0.1,1,0.25,0.1,0.0,0.0910792
487,1,0.1,0,0.35,0.1,0.0,0.09
488,0,0.1,1,0.58,0.0,0.0,0.0297
489,0,0.3,1,0.3,0.0,0.0,0.00805
490,1,0.3,1,0.09,0.1,0.1,0.0159
492,0,0.3,1,0.21,0.0,0.0,0.00725
493,0,0.1,1,0.55,0.0,0.0,0.0305
494,0,0.1,1,0.71,0.0,0.0,0.0495042
495,0,0.3,1,0.21,0.0,0.0,0.00805
497,1,0.1,0,0.54,0.1,0.0,0.0782667
499,0,0.1,0,0.25,0.1,0.2,0.15155000000000002
500,0,0.3,1,0.24,0.0,0.0,0.007795799999999999
501,0,0.3,1,0.17,0.0,0.0,0.0086625
502,0,0.3,0,0.21,0.0,0.0,0.00775
504,0,0.3,0,0.37,0.0,0.0,0.0095875
505,1,0.1,0,0.16,0.0,0.0,0.0865
506,0,0.1,1,0.18,0.1,0.0,0.10890000000000001
507,1,0.2,0,0.33,0.0,0.2,0.026
509,0,0.3,1,0.28,0.0,0.0,0.022525
510,1,0.3,1,0.26,0.0,0.0,0.056495800000000006
511,1,0.3,1,0.29,0.0,0.0,0.00775
513,1,0.1,1,0.36,0.0,0.0,0.026287500000000002
514,1,0.1,0,0.54,0.1,0.0,0.0594
515,0,0.3,1,0.24,0.0,0.0,0.0074958
516,0,0.1,1,0.47,0.0,0.0,0.034020800000000004
517,1,0.2,0,0.34,0.0,0.0,0.0105
519,1,0.2,0,0.36,0.1,0.0,0.026
520,0,0.3,1,0.32,0.0,0.0,0.0078958
521,1,0.1,0,0.3,0.0,0.0,0.0935
522,0,0.3,1,0.22,0.0,0.0,0.0078958
524,1,0.1,0,0.44,0.0,0.1,0.0579792
526,0,0.3,1,0.405,0.0,0.0,0.00775
527,1,0.2,0,0.5,0.0,0.0,0.0105
529,0,0.3,1,0.39,0.0,0.0,0.007925
530,0,0.2,1,0.23,0.2,0.1,0.0115
531,1,0.2,0,0.02,0.1,0.1,0.026
533,0,0.3,1,0.17,0.1,0.1,0.0072292
535,0,0.3,0,0.3,0.0,0.0,0.0086625
536,1,0.2,0,0.07,0.0,0.2,0.02625
537,0,0.1,1,0.45,0.0,0.0,0.02655
538,1,0.1,0,0.3,0.0,0.0,0.10642499999999999
540,1,0.1,0,0.22,0.0,0.2,0.0495
541,1,0.1,0,0.36,0.0,0.2,0.071
542,0,0.3,0,0.09,0.4,0.2,0.031275
543,0,0.3,0,0.11,0.4,0.2,0.031275
544,1,0.2,1,0.32,0.1,0.0,0.026
545,0,0.1,1,0.5,0.1,0.0,0.10642499999999999
546,0,0.1,1,0.64,0.0,0.0,0.026
547,1,0.2,0,0.19,0.1,0.0,0.026
549,0,0.3,1,0.33,0.1,0.1,0.020524999999999998
550,1,0.2,1,0.08,0.1,0.1,0.03675
551,1,0.1,1,0.17,0.0,0.2,0.1108833
552,0,0.2,1,0.27,0.0,0.0,0.026
554,1,0.3,1,0.22,0.0,0.0,0.007225
555,1,0.3,0,0.22,0.0,0.0,0.007775000000000001
556,0,0.1,1,0.62,0.0,0.0,0.02655
557,1,0.1,0,0.48,0.1,0.0,0.0396
559,1,0.1,0,0.39,0.1,0.1,0.07965000000000001
560,1,0.3,0,0.36,0.1,0.0,0.0174
562,0,0.3,1,0.4,0.0,0.0,0.0078958
563,0,0.2,1,0.28,0.0,0.0,0.0135
566,0,0.3,1,0.24,0.2,0.0,0.024149999999999998
567,0,0.3,1,0.19,0.0,0.0,0.0078958
568,0,0.3,0,0.29,0.0,0.4,0.021075
570,1,0.3,1,0.32,0.0,0.0,0.0078542
571,1,0.2,1,0.62,0.0,0.0,0.0105
572,1,0.1,0,0.53,0.2,0.0,0.051479199999999996
573,1,0.1,1,0.36,0.0,0.0,0.026387499999999998
575,0,0.3,1,0.16,0.0,0.0,0.00805
576,0,0.3,1,0.19,0.0,0.0,0.0145
577,1,0.2,0,0.34,0.0,0.0,0.013
578,1,0.1,0,0.39,0.1,0.0,0.0559
580,1,0.3,1,0.32,0.0,0.0,0.007925
581,1,0.2,0,0.25,0.1,0.1,0.03
582,1,0.1,0,0.39,0.1,0.1,0.1108833
583,0,0.2,1,0.54,0.0,0.0,0.026
584,0,0.1,1,0.36,0.0,0.0,0.040125
586,1,0.1,0,0.18,0.0,0.2,0.07965000000000001
587,0,0.2,1,0.47,0.0,0.0,0.015
588,1,0.1,1,0.6,0.1,0.1,0.0792
589,0,0.3,1,0.22,0.0,0.0,0.00805
591,0,0.3,1,0.35,0.0,0.0,0.007125
592,1,0.1,0,0.52,0.1,0.0,0.0782667
593,0,0.3,1,0.47,0.0,0.0,0.00725
595,0,0.2,1,0.37,0.1,0.0,0.026
596,0,0.3,1,0.36,0.1,0.1,0.024149999999999998
598,0,0.3,1,0.49,0.0,0.0,0.0
600,1,0.1,1,0.49,0.1,0.0,0.0569292
601,1,0.2,0,0.24,0.2,0.1,0.027
604,0,0.3,1,0.44,0.0,0.0,0.00805
605,1,0.1,1,0.35,0.0,0.0,0.02655
606,0,0.3,1,0.36,0.1,0.0,0.015550000000000001
607,0,0.3,1,0.3,0.0,0.0,0.0078958
608,1,0.1,1,0.27,0.0,0.0,0.0305
609,1,0.2,0,0.22,0.1,0.2,0.0415792
610,1,0.1,0,0.4,0.0,0.0,0.1534625
611,0,0.3,0,0.39,0.1,0.5,0.031275
615,0,0.3,1,0.35,0.0,0.0,0.00805
616,1,0.2,0,0.24,0.1,0.2,0.065
617,0,0.3,1,0.34,0.1,0.1,0.0144
618,0,0.3,0,0.26,0.1,0.0,0.0161
619,1,0.2,0,0.04,0.2,0.1,0.039
620,0,0.2,1,0.26,0.0,0.0,0.0105
621,0,0.3,1,0.27,0.1,0.0,0.0144542
622,1,0.1,1,0.42,0.1,0.0,0.0525542
623,1,0.3,1,0.2,0.1,0.1,0.0157417
624,0,0.3,1,0.21,0.0,0.0,0.0078542
625,0,0.3,1,0.21,0.0,0.0,0.0161
626,0,0.1,1,0.61,0.0,0.0,0.0323208
627,0,0.2,1,0.57,0.0,0.0,0.01235
628,1,0.1,0,0.21,0.0,0.0,0.0779583
629,0,0.3,1,0.26,0.0,0.0,0.0078958
631,1,0.1,1,0.8,0.0,0.0,0.03
632,0,0.3,1,0.51,0.0,0.0,0.0070542
633,1,0.1,1,0.32,0.0,0.0,0.0305
635,0,0.3,0,0.09,0.3,0.2,0.027899999999999998
636,1,0.2,0,0.28,0.0,0.0,0.013
637,0,0.3,1,0.32,0.0,0.0,0.007925
